,loss,accuracy,model
225,"tensor(3.6532e-05, device='cuda:0', grad_fn=<DivBackward0>)",0.8733333333333333,TransductiveSuperGAT
226,"tensor(4.5813e-05, device='cuda:0', grad_fn=<DivBackward0>)",0.87,TransductiveSuperGAT
227,"tensor(0.0002, device='cuda:0', grad_fn=<DivBackward0>)",0.8766666666666667,TransductiveSuperGAT
228,"tensor(7.5463e-05, device='cuda:0', grad_fn=<DivBackward0>)",0.8633333333333333,TransductiveSuperGAT
229,"tensor(4.1565e-05, device='cuda:0', grad_fn=<DivBackward0>)",0.8633333333333333,TransductiveSuperGAT
230,"tensor(6.8233e-05, device='cuda:0', grad_fn=<DivBackward0>)",0.8466666666666667,TransductiveSuperGAT
231,"tensor(9.6939e-05, device='cuda:0', grad_fn=<DivBackward0>)",0.84,TransductiveSuperGAT
232,"tensor(7.6587e-05, device='cuda:0', grad_fn=<DivBackward0>)",0.8533333333333334,TransductiveSuperGAT
233,"tensor(6.3054e-05, device='cuda:0', grad_fn=<DivBackward0>)",0.8633333333333333,TransductiveSuperGAT
234,"tensor(5.0845e-05, device='cuda:0', grad_fn=<DivBackward0>)",0.8733333333333333,TransductiveSuperGAT
235,"tensor(5.6512e-05, device='cuda:0', grad_fn=<DivBackward0>)",0.89,TransductiveSuperGAT
236,"tensor(4.6033e-05, device='cuda:0', grad_fn=<DivBackward0>)",0.8866666666666667,TransductiveSuperGAT
237,"tensor(6.6081e-05, device='cuda:0', grad_fn=<DivBackward0>)",0.8833333333333333,TransductiveSuperGAT
238,"tensor(5.1616e-05, device='cuda:0', grad_fn=<DivBackward0>)",0.88,TransductiveSuperGAT
239,"tensor(3.7245e-05, device='cuda:0', grad_fn=<DivBackward0>)",0.88,TransductiveSuperGAT
240,"tensor(3.5488e-05, device='cuda:0', grad_fn=<DivBackward0>)",0.8766666666666667,TransductiveSuperGAT
241,"tensor(6.1832e-05, device='cuda:0', grad_fn=<DivBackward0>)",0.8666666666666667,TransductiveSuperGAT
242,"tensor(6.5236e-05, device='cuda:0', grad_fn=<DivBackward0>)",0.8666666666666667,TransductiveSuperGAT
243,"tensor(2.6669e-05, device='cuda:0', grad_fn=<DivBackward0>)",0.8633333333333333,TransductiveSuperGAT
244,"tensor(3.3373e-05, device='cuda:0', grad_fn=<DivBackward0>)",0.87,TransductiveSuperGAT
245,"tensor(4.7666e-05, device='cuda:0', grad_fn=<DivBackward0>)",0.8733333333333333,TransductiveSuperGAT
246,"tensor(3.7999e-05, device='cuda:0', grad_fn=<DivBackward0>)",0.8733333333333333,TransductiveSuperGAT
